,역사_ID,역사명,호선,위도,경도,주소
113,4206,마곡나루,공항철도1호선,37.565543,126.827378,"마곡나루, 마곡중앙로, 마곡지구도시개발지구, 가양1동, 강서구, 서울특별시, 07800, 대한민국"
114,4204,디지털미디어시티,공항철도1호선,37.576958,126.898609,"성암로, 21통, 상암동, 마포구, 서울특별시, 03927, 대한민국"
115,4203,홍대입구,공항철도1호선,37.557438,126.926715,"190-1, 양화로, 동교동, 서교동, 마포구, 서울특별시, 04051, 대한민국"
116,4202,공덕,공항철도1호선,37.54253,126.952024,"아비꼬공덕역점, 92, 마포대로, 43통, 공덕동, 마포구, 서울특별시, 04146, 대한민국"
117,4201,서울역,공항철도1호선,37.553247,126.969769,"405, 한강대로, 동자동, 남영동, 용산구, 서울특별시, 04320, 대한민국"
118,4138,중앙보훈병원,9호선(연장),37.529191,127.148739,"동남로, 둔촌동, 둔촌2동, 강동구, 서울특별시, 05367, 대한민국"
119,4137,둔촌오륜,9호선(연장),37.519683,127.137989,"강동대로, 둔촌1동, 강동구, 서울특별시, 05408, 대한민국"
120,4136,올림픽공원(한국체대),9호선(연장),37.516269,127.130288,"파리크라상, 양재대로 자전거 전용, 오륜동, 송파구, 서울특별시, 05649, 대한민국"
121,4135,한성백제,9호선(연장),37.516404,127.116503,"한성백제, 51, 위례성대로, 오륜동, 송파구, 서울특별시, 05628, 대한민국"
122,4134,송파나루,9호선(연장),37.510372,127.112216,"박인숙국회의원사무실, 446, 백제고분로, 방이동, 방이2동, 송파구, 서울특별시, 05545, 대한민국"
123,4133,석촌,9호선(연장),37.505208,127.10704,"송파대로, 석촌동, 송파구, 서울특별시, 05616, 대한민국"
124,4132,석촌고분,9호선(연장),37.502558,127.097033,"삼학사로, 삼전동, 송파구, 서울특별시, 05603, 대한민국"
125,4131,삼전,9호선(연장),37.504738,127.088025,"파크인수아파트, 187, 백제고분로, 삼전동, 잠실본동, 송파구, 서울특별시, 05567, 대한민국"
126,4130,종합운동장,9호선(연장),37.511426,127.076275,"올림픽로, 잠실7동, 송파구, 서울특별시, 05556, 대한민국"
127,4129,봉은사,9호선(연장),37.514219,127.060245,"봉은사로, 삼성동, 삼성1동, 강남구, 서울특별시, 06081, 대한민국"
128,4128,삼성중앙,9호선(연장),37.513011,127.053282,"지오에프앤비, 575,, 삼성로, 삼성2동, 강남구, 서울특별시, 06156, 대한민국"
129,4127,선정릉,9호선(연장),37.510297,127.043999,"미팅룸 선정릉, 404,, 봉은사로, 삼성2동, 강남구, 서울특별시, 06096, 대한민국"
130,4126,언주,9호선(연장),37.507287,127.033868,"플렉스, 177,, 봉은사로, 논현1동, 강남구, 서울특별시, 06135, 대한민국"
131,4125,신논현,9호선,37.504598,127.02506,"808김밥, 106, 봉은사로, 역삼1동, 강남구, 서울특별시, 06121, 대한민국"
132,4124,사평,9호선,37.504206,127.015259,"사평대로, 반포1동, 서초구, 서울특별시, 06598, 대한민국"
133,4123,고속터미널,9호선,37.50598,127.004403,"신반포로23길, 반포4동, 서초구, 서울특별시, 06545, 대한민국"
134,4122,신반포,9호선,37.503415,126.995925,"반포2동, 서초구, 서울특별시, 06504, 대한민국"
135,4121,구반포,9호선,37.501364,126.987332,"반포본동, 서초구, 서울특별시, 06504, 대한민국"
136,4120,동작(현충원),9호선,37.502878,126.978153,"동작테니스장, 현충로, 동작동, 사당2동, 동작구, 서울특별시, 06984, 대한민국"
137,4119,흑석(중앙대입구),9호선,37.50877,126.963708,"현충로, 흑석동, 노량진1동, 동작구, 서울특별시, 06972, 대한민국"
138,4118,노들,9호선,37.512887,126.953222,"노량진로, 본동, 노량진1동, 동작구, 서울특별시, 06969, 대한민국"
